Table ES-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Magnesium Production and Processing,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Wood Biomass and Ethanol Consumptiona,219.4,220.2,230.6,225.8,232.3,236.9,241.3,235.6,218.2,221.5,227.4,203.3,204.5,209.8,225.2,229.8,233.8,241.2,254.7,250.5,265.1,268.1,267.7,286.3,293.7
,International Bunker Fuelsb,103.5,117.6,107.9,97.8,96.7,98.5,99.7,107,110.5,102.7,101.7,93.7,94.4,98.3,108.4,113.1,114.1,115.3,114.3,106.4,117,111.7,105.8,99.8,103.2
,CH4,773.9,777.0,776.9,764.1,770.5,767.9,762.2,747.2,737.8,723.5,717.5,712.7,706.3,708.6,704.9,717.4,719.6,726.0,738.9,735.4,722.4,717.4,714.4,721.5,730.8
,Natural Gas Systems,206.8,208.9,207.7,206.8,207.8,201.9,200.9,198.5,195.3,192.1,189.7,191.7,184.4,182.5,180.0,177.3,179.4,176.7,179.1,171.4,166.2,170.1,172.6,175.6,176.1
,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170.0,166.8,168.9,171.6,174.5,173.8,173.0,171.3,168.9,166.7,165.5,164.3
,Landfills,179.6,181.7,181.4,179.2,179.0,174.2,170.6,161.1,151.4,144.7,141.4,136.8,137.4,144.0,145.4,154.0,151.7,153.1,154.5,154.5,142.1,144.4,142.3,144.3,148
,Petroleum Systems,38.7,38.8,37.9,37.0,38.2,39.5,40.8,42.4,42.9,43.2,44.5,45.8,46.4,47.1,48.0,48.8,50.0,50.6,51.4,52.1,54.1,56.3,58.4,64.7,68.1
,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76.0,75.4,75.7,71.2,68.3,68.0,63.8,64.0,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,67.6
,Manure Management,37.2,38.9,37.5,39.2,42.0,43.3,42.6,44.7,48.7,49.3,50.0,52.2,53.5,54.4,53.1,56.3,57.0,62.0,61.0,59.6,60.9,61.5,63.7,61.4,61.2
,Wastewater Treatment,15.7,15.9,16.2,16.2,16.3,16.4,16.3,16.5,16.5,16.6,16.5,16.2,16.2,16.0,15.9,15.9,15.9,15.9,15.9,15.6,15.5,15.3,15,14.8,14.7
,Rice Cultivation,13.1,13.0,13.0,13.6,10.4,13.1,12.4,11.3,13.5,12.6,14.4,12.0,15.2,11.0,11.0,13.0,10.3,9.9,8.9,11.0,11.9,11.8,11.9,11.9,11.9
,Stationary Combustion,8.5,8.7,9.0,8.4,8.2,8.2,8.5,7.7,7.0,7.2,7.5,7.0,7.0,7.2,7.4,7.4,6.9,7.2,7.4,7.4,7.1,7.1,6.6,8,8.1
,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9.0,8.2,8.3,8.8,8.0,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3
,Composting,0.4,0.4,0.5,0.6,0.8,0.9,1.0,1.1,1.2,1.3,1.5,1.5,1.5,1.7,1.9,1.9,1.9,2.0,2.0,1.9,1.8,1.9,1.9,2,2.1
,Mobile Combustion,5.6,5.5,5.5,5.4,5.3,5.2,5.0,4.8,4.6,4.0,3.7,3.5,3.2,3.0,2.9,2.7,2.7,2.5,2.4,2.3,2.3,2.2,2.2,2.1,2
,Field Burning of Agricultural Residues,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Petrochemical Production,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,+ ,0.1,+ ,+ ,+ ,+ ,0.1,0.1,0.1
,Ferroalloy Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Silicon Carbide Production and Consumption,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,406.2,396.1,404.1,420.5,402.5,420.6,428.9,412.3,433.9,401.1,401.4,399.3,400.9,401.8,428.6,397.6,410.1,419.0,396.8,399.5,410.3,416.5,409.3,403.4,403.5
,Agricultural Soil Management,303.3,291.5,297.9,310.5,289.1,301.8,308.4,297.3,322.8,292.9,292.6,297.6,299.1,301.7,331.1,297.2,309.6,317.8,308.0,314.2,320.7,323.1,323.1,318.6,318.4
,Stationary Combustion,11.9,11.8,12.0,12.3,12.5,12.6,12.9,13.0,13.0,13.2,14.0,14.4,16.0,17.3,19.0,20.2,20.4,20.8,20.8,20.4,22.2,21.3,21.4,22.9,23.4
,Manure Management,14,14.2,14.2,14.0,14.8,15.1,15.1,15.3,15.5,16.1,16.5,16.4,16.7,16.9,16.2,16.5,17.3,17.4,17.2,17.1,17.2,17.4,17.5,17.5,17.5
,Mobile Combustion,41.2,43.1,46.1,48.1,49.9,51.2,52.1,52.9,53.1,50.2,49.0,45.0,42.1,38.9,36.8,34.4,32.2,28.4,26.0,24.5,23.6,22.4,20,18.2,16.3
,Nitric Acid Production,12.1,12.1,12.4,12.6,13.3,13.5,14.1,14.4,14.2,13.7,13.3,10.8,11.7,11.0,10.9,11.3,11.1,13.2,11.3,9.6,11.5,10.9,10.5,10.7,10.9
,Adipic Acid Production,15.2,14.9,13.0,13.9,13.5,16.9,16.7,9.4,5.1,4.7,5.3,4.5,4.9,5.5,3.7,7.1,8.6,10.3,2.5,2.7,4.2,10.2,5.5,4,5.4
,Wastewater Treatment,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.8,3.9,4.0,4.1,4.1,4.2,4.3,4.4,4.3,4.4,4.5,4.4,4.4,4.5,4.7,4.8,4.8,4.8
,N2O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,Composting,0.3,0.4,0.4,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.3,1.4,1.5,1.7,1.7,1.7,1.8,1.8,1.7,1.6,1.7,1.7,1.8,1.8
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
,Semiconductor Manufacture,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2
,Field Burning of Agricultural Residues,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,International Bunker Fuelsb,0.9,1.0,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.0,0.9,1,1,0.9,0.9,0.9
