Table 4-2:  Emissions from Industrial Processes and Product Use (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Iron and Steel Production, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , +  , +  , +  , +  , +  , +  , +  , +  , +  
,Metallurgical Coke Production, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,N2O, 106 , 105 , 98 , 104 , 105 , 117 , 118 , 96 , 81 , 78 , 78 , 67 , 70 , 70 , 63 , 76 , 81 , 93 , 61 , 56 , 68 , 86 , 69 , 64 , 70 
,Nitric Acid Production, 41 , 41 , 42 , 42 , 45 , 45 , 47 , 48 , 48 , 46 , 45 , 36 , 39 , 37 , 37 , 38 , 37 , 44 , 38 , 32 , 39 , 37 , 35 , 36 , 37 
,Adipic Acid Production, 51 , 50 , 44 , 47 , 45 , 57 , 56 , 32 , 17 , 16 , 18 , 15 , 17 , 18 , 12 , 24 , 29 , 34 , 8 , 9 , 14 , 34 , 19 , 13 , 18 
,N2O from Product Uses, 14 , 14 , 13 , 15 , 15 , 15 , 15 , 16 , 16 , 16 , 16 , 16 , 14 , 14 , 14 , 14 , 14 , 14 , 14 , 14 , 14 , 14 , 14 , 14 , 14 
,Semiconductor Manufacturing, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , 1 , 1 , 1 , +  , +  , 1 , 1 , 1 , 1 
,HFCs, M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M 
,Substitution of Ozone Depleting Substancesa, M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M 
,HCFC-22 Production, 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 2 , 2 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , +  , 1 , 1 , +  , +  , +  
