Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Average Annual Change
,Manure Management,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-0.1,+,+,0.1,+,+,+
,Rice Cultivation,4,4.0,2.9,4.6,-0.2,3.3,3.5,1.6,3.3,1.9,4.8,2.2,6.3,2.1,1.3,4.1,2.6,2.0,-0.3,1.5,0.8,3.4,2.6,3.6,2.7
,Field Burning of Agricultural Residues,-0.1,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Landfills,-6.7,-7.1,-9.0,-11.9,-12.0,-11.4,-10.3,-12.1,-14.1,-16.0,-16.7,-18.4,-19.1,-19.2,-15.7,-11.5,-13.9,-13.0,-11.1,-3.6,20.3,23.1,27,29.7,-6.4
,Wastewater Treatment,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.1,-0.2,+
,Composting,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,+
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,International Bunker Fuelsa,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,N2Ob,76.3,41.2,58.5,54.0,49.7,49.1,35.0,35.7,75.7,47.9,66.2,46.3,54.0,67.6,73.0,41.7,56.2,41.9,32.5,43.4,50.3,44.6,43.7,48.2,51.4
,Stationary Combustion,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mobile Combustion,+,+,+,+,+,+,+,+,+,-2.5,-3.0,-4.7,-4.4,-4.5,-4.3,-3.7,-3.0,-1.7,-0.4,-0.1,-0.1,-0.1,-0.2,-0.2,-1.4
,Adipic Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Nitric Acid Production,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NC,+
,Manure Management,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1
,Agricultural Soil Management,79.3,44.0,62.2,57.0,55.8,53.3,43.7,39.0,79.3,58.7,80.0,58.2,68.1,79.3,82.5,53.5,74.2,56.4,41.8,50.1,56.4,57.3,57.1,54.9,60.1
,Field Burning of Agricultural Residues,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Wastewater Treatment,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1
,N?O from Product Uses,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Composting,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,+
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+
,International Bunker Fuelsa,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
